Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Midnight Marble Case,midnight-marble,"<p>Deep obsidian tones layered with rich gold and white marble veining.</p>",CaseBold,Electronics > Communications > Telephony > Mobile Phone Accessories > Mobile Phone Cases,Phone Case,"Cases, Bestseller, Marble",TRUE,Active,MM-01,,Model,iPhone 15 Pro Max,,,,,,,,29.99,34.99,10.00,TRUE,,,,,,shopify,42,deny,100,g,TRUE,manual,https://placehold.co/600x600/1e293b/ffffff?text=Midnight+Marble,1,Midnight Marble Case,,FALSE,Midnight Marble Case | CaseBold,"Deep obsidian tones layered with rich gold and white marble veining.",,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-02,,Model,iPhone 15 Pro,,,,,,,,27.99,34.99,10.00,TRUE,,,,,,shopify,0,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-03,,Model,iPhone 15 Plus,,,,,,,,24.99,34.99,10.00,TRUE,,,,,,shopify,18,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-04,,Model,iPhone 15,,,,,,,,22.99,34.99,10.00,TRUE,,,,,,shopify,65,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-05,,Model,iPhone 14 Pro Max,,,,,,,,26.99,34.99,10.00,TRUE,,,,,,shopify,0,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-06,,Model,iPhone 14 Pro,,,,,,,,24.49,34.99,10.00,TRUE,,,,,,shopify,35,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-07,,Model,iPhone 14 Plus,,,,,,,,19.99,34.99,10.00,TRUE,,,,,,shopify,82,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-08,,Model,iPhone 14,,,,,,,,18.49,34.99,10.00,TRUE,,,,,,shopify,4,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-09,,Model,iPhone 13 Pro,,,,,,,,16.99,34.99,10.00,TRUE,,,,,,shopify,50,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,midnight-marble,,,,,,,,MM-10,,Model,iPhone 13,,,,,,,,14.99,34.99,10.00,TRUE,,,,,,shopify,0,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
